User_ID,Age,Country,ISBN,Title,Author,Main_Genres,Genres,Age_Group
254,24, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
254,24, usa,440419468,Holes,Louis Sachar,Children's Books,Crime & Thriller,Young Adult (18-29)
384,23, romania,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Young Adult (18-29)
882,23, usa,553255851,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
1025,33, united kingdom,394404289,The Prophet,Kahlil Gibran,Literature & Fiction,Classic Fiction,Adult (30-59)
1359,14, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Teens (12-17)
1570,28, usa,156787334,A Room of One's Own,Virginia Woolf,Literature & Fiction,Essays,Young Adult (18-29)
1674,26, usa,812505166,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Young Adult (18-29)
1848,22, usa,553351702,The Book of Five Rings,Miyamoto Musashi,Sports,Combat Sports & Self-Defence,Young Adult (18-29)
1903,36, taiwan,140135154,Ways of Seeing,John Berger,"Arts, Film & Photography",Theory & Criticism,Adult (30-59)
2030,31, usa,394404289,The Prophet,Kahlil Gibran,Literature & Fiction,Classic Fiction,Adult (30-59)
2030,31, usa,553476580,Alchemist,Paulo Coelho,Literature & Fiction,Classic Fiction,Adult (30-59)
2033,27, usa,375815260,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Young Adult (18-29)
2719,37, usa,451521358,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Adult (30-59)
2766,42, usa,141311908,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Adult (30-59)
3145,34, usa,440419468,Holes,Louis Sachar,Children's Books,Crime & Thriller,Adult (30-59)
3167,42, usa,812505018,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
3583,48, australia,43510744,Metamorphosis,Franz Kafka,Literature & Fiction,Classic Fiction,Adult (30-59)
3827,23, usa,553562614,Snow Crash,Neal Stephenson,"Computing, Internet & Digital Media",Computer Science,Young Adult (18-29)
4157,39, usa,553210424,Metamorphosis,Franz Kafka,Literature & Fiction,Classic Fiction,Adult (30-59)
4365,19, canada,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
4896,18, romania,811202925,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Young Adult (18-29)
4896,18, romania,1577311523,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,Religion,New Age & Spirituality,Young Adult (18-29)
5448,14, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Teens (12-17)
5903,25, austria,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Young Adult (18-29)
6112,16, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Teens (12-17)
6120,36, usa,156012197,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
6251,32, usa,140328696,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Adult (30-59)
6251,32, usa,156787334,A Room of One's Own,Virginia Woolf,Literature & Fiction,Essays,Adult (30-59)
6251,32, usa,394404289,The Prophet,Kahlil Gibran,Literature & Fiction,Classic Fiction,Adult (30-59)
6251,32, usa,440226198,The Gift of Fear,Gavin de Becker,Society & Social Sciences,Social Welfare & Social Services,Adult (30-59)
6251,32, usa,081120068X,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
6345,29, usa,451511328,Frankenstein,Mary Shelley,"Fantasy, Horror & Science Fiction",Horror,Young Adult (18-29)
6364,32, usa,449911462,Think and Grow Rich,Napoleon Hill,Business & Economics,Economics,Adult (30-59)
6543,34, usa,385488181,Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,Sports,Active Outdoor Pursuits,Adult (30-59)
6731,29, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Young Adult (18-29)
7128,8, usa,590433466,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",
7158,30, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Adult (30-59)
7286,28, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
7346,49, usa,671722751,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Adult (30-59)
7384,28, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Young Adult (18-29)
7886,27, usa,812992180,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,Travel,Travel & Holiday Guides,Young Adult (18-29)
7958,27, portugal,1570629706,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Young Adult (18-29)
8245,31, usa,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
8250,34, usa,006440188X,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
8253,26, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Young Adult (18-29)
8680,2, usa,812505166,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,
8782,239, canada,140328696,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,
9174,37, usa,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
9417,26, canada,425080021,Dune,Frank Herbert,"Fantasy, Horror & Science Fiction",Fantasy,Young Adult (18-29)
9440,21, usa,517025302,Relativity: The Special and the General Theory,Albert Einstein,Science & Mathematics,Mathematics,Young Adult (18-29)
9525,15, usa,812505166,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Teens (12-17)
9856,22, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
10030,66, usa,425043797,Dune Messiah,Frank Herbert,Reference,Library & Information Science,Senior (60+)
10030,66, usa,553210211,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Senior (60+)
10241,27, usa,078670621X,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Sciences, Technology & Medicine",Transportation & Automotive,Young Adult (18-29)
11325,23, usa,385488181,Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,Sports,Active Outdoor Pursuits,Young Adult (18-29)
11908,20, canada,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
11971,37, spain,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
11993,37, usa,64430170,Goodnight Moon,Margaret Wise Brown,Children's Books,Animals & Pets,Adult (30-59)
12538,18, usa,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Young Adult (18-29)
12538,18, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
12538,18, usa,553121456,Independence,Chitra Banerjee Divakaruni,Higher Education Textbooks,Social Sciences,Young Adult (18-29)
12538,18, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
12538,18, usa,812505166,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Young Adult (18-29)
12568,26, united kingdom,948524588,Invincible,Amy Lawrence,Sports,Sporting Events & Organisations,Young Adult (18-29)
12917,24, usa,395683297,Silent Spring,Rachel Carson,"Crafts, Home & Lifestyle",Gardening & Landscape Design,Young Adult (18-29)
12917,24, usa,1566193087,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Young Adult (18-29)
12982,41, spain,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
