,id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
0,1,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,English,1997,Bloomsbury,A young wizard discovers his magical heritage and attends Hogwarts School of Witchcraft and Wizardry.,309,"magic,school,adventure",4.89,UK,True,"Smarties Prize,British Book Award",Children,True,2001.0,978-0747532743
1,2,To Kill a Mockingbird,Harper Lee,Horror,English,1960,J.B. Lippincott & Co.,"A lawyer in the Depression-era South defends a black man against an undeserved rape charge, and his children learn about prejudice.",281,"classic,law,racism,history",4.85,USA,True,Pulitzer Prize,Adult,True,1962.0,978-0061120084
2,3,1984,George Orwell,Sci-Fi,English,1949,Secker & Warburg,A dystopian social science fiction novel and cautionary tale about the future under a totalitarian regime.,328,"politics,scifi,totalitarianism",4.8,UK,True,Prometheus Hall of Fame,Adult,True,1984.0,978-0451524935
3,4,The Great Gatsby,F. Scott Fitzgerald,Art/Literature,English,1925,Charles Scribner's Sons,A story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan.,180,"classic,wealth,romance,jazz age",4.4,USA,True,,Adult,True,2013.0,978-0743273565
4,5,The Hobbit,J.R.R. Tolkien,Fantasy,English,1937,George Allen & Unwin,"Bilbo Baggins, a hobbit, is swept into an epic quest to reclaim the lost Dwarf Kingdom of Erebor.",310,"adventure,dragons,magic",4.75,UK,True,Keith Barker Millennium Book Award,Children,True,2012.0,978-0547928227
5,6,Pride and Prejudice,Jane Austen,Romance,English,1813,T. Egerton,"The romantic clash between the opinionated Elizabeth Bennet and her proud beau, Mr. Darcy.",279,"classic,love,victorian,satire",4.65,UK,True,,Adult,True,2005.0,978-0141439518
6,7,The Catcher in the Rye,J.D. Salinger,Art/Literature,English,1951,"Little, Brown and Company","Holden Caulfield, a teenager from New York, narrates his two days of angst and alienation.",234,"teen,classic,angst,coming-of-age",4.05,USA,True,,Young Adult,False,,978-0316769488
7,8,The Da Vinci Code,Dan Brown,Mystery/Thriller,English,2003,Doubleday,Robert Langdon investigates a murder in the Louvre that leads to a religious mystery protected by a secret society.,489,"mystery,religion,art,conspiracy",4.3,USA,True,British Book Award,Adult,True,2006.0,978-0307474278
8,9,The Hunger Games,Suzanne Collins,Sci-Fi,English,2008,Scholastic,Katniss Everdeen volunteers to take her sister's place in a televised fight to the death.,374,"survival,action,romance,scifi",4.72,USA,True,California Young Reader Medal,Young Adult,True,2012.0,978-0439023481
9,10,The Lord of the Rings,J.R.R. Tolkien,Fantasy,English,1954,George Allen & Unwin,Frodo Baggins must destroy the One Ring to defeat the Dark Lord Sauron.,1178,"epic,magic,war,adventure",4.92,UK,True,International Fantasy Award,Adult,True,2001.0,978-0544003415
10,11,The Alchemist,Paulo Coelho,Adventure,English,1988,HarperCollins,"Santiago, an Andalusian shepherd boy, travels in search of a worldly treasure.",163,"philosophy,travel,dreams",4.55,Brazil,True,Corine International Book Prize,Adult,False,,978-0062315007
11,12,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,English,1950,Geoffrey Bles,Four siblings step through a wardrobe into the magical land of Narnia.,208,"magic,kids,christianity,winter",4.7,UK,True,Lewis Carroll Shelf Award,Children,True,2005.0,978-0064404990
